frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,true,0.005344533,-0.001555110,0.150333191,0.000000000,0.100000000,0.000000000,0.980000000
1,0.016667,2,false,false,0.009362038,0.003463266,0.150196955,0.000083333,0.099999965,0.000050000,0.980000000
2,0.033333,2,false,false,0.013748646,0.009982528,0.149576735,0.000166667,0.099999861,0.000100000,0.980000000
3,0.050000,2,false,false,0.019087526,0.011428495,0.150113317,0.000250000,0.099999688,0.000150000,0.980000000
4,0.066667,2,false,false,0.024372103,0.015769499,0.150396446,0.000333333,0.099999444,0.000200000,0.980000000
5,0.083333,2,false,false,0.028461325,0.020747222,0.149976814,0.000416665,0.099999132,0.000250000,0.980000000
6,0.100000,2,false,false,0.033268264,0.025814128,0.149816561,0.000499998,0.099998750,0.000300000,0.980000000
7,0.116667,2,false,false,0.037374228,0.027717397,0.149841302,0.000583330,0.099998299,0.000349999,0.980000000
8,0.133333,2,false,false,0.042130842,0.031545993,0.150335777,0.000666662,0.099997778,0.000399999,0.980000000
9,0.150000,2,false,false,0.046346397,0.033967310,0.149023774,0.000749993,0.099997188,0.000449998,0.980000000
10,0.166667,2,false,false,0.050667886,0.039681729,0.150807341,0.000833324,0.099996528,0.000499998,0.980000000
11,0.183333,2,false,false,0.055909430,0.045174537,0.149591178,0.000916654,0.099995799,0.000549997,0.980000000
12,0.200000,2,false,false,0.061762816,0.047086314,0.149356094,0.000999983,0.099995000,0.000599996,0.980000000
13,0.216667,2,false,false,0.066999645,0.052200578,0.149423230,0.001083312,0.099994132,0.000649995,0.980000000
14,0.233333,2,false,false,0.072191100,0.055092416,0.150323595,0.001166640,0.099993195,0.000699994,0.980000000
15,0.250000,2,false,false,0.077343685,0.058579349,0.149227201,0.001249967,0.099992188,0.000749993,0.980000000
16,0.266667,2,false,false,0.083177812,0.064726890,0.149142074,0.001333294,0.099991111,0.000799991,0.980000000
17,0.283333,2,false,false,0.087565216,0.065933121,0.148701634,0.001416619,0.099989965,0.000849990,0.980000000
18,0.300000,2,false,false,0.093108259,0.069473243,0.149321982,0.001499944,0.099988750,0.000899988,0.980000000
19,0.316667,2,false,false,0.098856365,0.073494943,0.149496934,0.001583267,0.099987466,0.000949986,0.980000000
20,0.333333,2,false,false,0.103358812,0.078617608,0.148489853,0.001666590,0.099986111,0.000999983,0.980000000
21,0.350000,2,false,false,0.109309112,0.083913004,0.149909789,0.001749911,0.099984688,0.001049981,0.980000000
22,0.366667,2,false,false,0.113704765,0.086211202,0.148537242,0.001833231,0.099983195,0.001099978,0.980000000
23,0.383333,2,false,false,0.118805213,0.088915832,0.149054954,0.001916549,0.099981633,0.001149975,0.980000000
24,0.400000,2,false,false,0.124677497,0.092493483,0.149156313,0.001999867,0.099980001,0.001199971,0.980000000
25,0.416667,2,false,false,0.130505952,0.099379622,0.149320105,0.002083183,0.099978299,0.001249967,0.980000000
26,0.433333,2,false,false,0.135060883,0.103531997,0.149000761,0.002166497,0.099976529,0.001299963,0.980000000
