frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,true,0.005788292,-0.000211259,0.150570293,0.000000000,0.100000000,0.000000000,0.980000000
1,0.016667,2,false,false,0.010949021,0.002258732,0.150351425,0.000083333,0.099999965,0.000050000,0.980000000
2,0.033333,2,false,false,0.016514362,0.008829499,0.150272425,0.000166667,0.099999861,0.000100000,0.980000000
3,0.050000,2,false,false,0.020690321,0.012098124,0.150563900,0.000250000,0.099999688,0.000150000,0.980000000
4,0.066667,2,false,false,0.025828157,0.015470384,0.150453279,0.000333333,0.099999444,0.000200000,0.980000000
5,0.083333,2,false,false,0.030580403,0.019909534,0.150719729,0.000416665,0.099999132,0.000250000,0.980000000
6,0.100000,2,false,false,0.035442499,0.023747748,0.149562891,0.000499998,0.099998750,0.000300000,0.980000000
7,0.116667,2,false,false,0.039499544,0.026571032,0.149402435,0.000583330,0.099998299,0.000349999,0.980000000
8,0.133333,2,false,false,0.044127087,0.032294584,0.150730672,0.000666662,0.099997778,0.000399999,0.980000000
9,0.150000,2,false,false,0.049597643,0.037837604,0.150441546,0.000749993,0.099997188,0.000449998,0.980000000
10,0.166667,2,false,false,0.054905117,0.041870640,0.150150360,0.000833324,0.099996528,0.000499998,0.980000000
11,0.183333,2,false,false,0.059983187,0.043831446,0.150132958,0.000916654,0.099995799,0.000549997,0.980000000
12,0.200000,2,false,false,0.065586753,0.046270041,0.150398612,0.000999983,0.099995000,0.000599996,0.980000000
13,0.216667,2,false,false,0.069718616,0.050508548,0.149611632,0.001083312,0.099994132,0.000649995,0.980000000
14,0.233333,2,false,false,0.075534098,0.055678583,0.149849211,0.001166640,0.099993195,0.000699994,0.980000000
15,0.250000,2,false,false,0.080878733,0.058958183,0.149998197,0.001249967,0.099992188,0.000749993,0.980000000
16,0.266667,2,false,false,0.086873123,0.063516135,0.148693487,0.001333294,0.099991111,0.000799991,0.980000000
17,0.283333,2,false,false,0.092224955,0.068611518,0.149640129,0.001416619,0.099989965,0.000849990,0.980000000
18,0.300000,2,false,false,0.098028387,0.073008983,0.150333471,0.001499944,0.099988750,0.000899988,0.980000000
19,0.316667,2,false,false,0.103931659,0.073451392,0.148414336,0.001583267,0.099987466,0.000949986,0.980000000
20,0.333333,2,false,false,0.109406172,0.079840669,0.149333352,0.001666590,0.099986111,0.000999983,0.980000000
21,0.350000,2,false,false,0.113681101,0.083399776,0.149941774,0.001749911,0.099984688,0.001049981,0.980000000
22,0.366667,2,false,false,0.119020427,0.086170991,0.149826115,0.001833231,0.099983195,0.001099978,0.980000000
